epoch,loss,loss_loglik,loss_kl,loss_out
1,tensor([99.2659]),tensor([1.7047]),tensor([-99.2914]),tensor([1.7302])
2,tensor([99.2230]),tensor([1.7114]),tensor([-99.2012]),tensor([1.6895])
