data_dir,time_window,feat_subset,train_test_ratio,train_val_ratio,seed,normalize,num_folds,F1,Precision,Recall,Auroc,SIL,DBI,VRI
data/MIMIC/processed,"[0, 10]",vitals-static,0.6,0.6,1313,True,1,F1,Precision,Recall,Auroc,SIL,DBI,VRI
data/MIMIC/processed,"[0, 10]",vitals-static,0.6,0.6,1313,True,1,F1,Precision,Recall,Auroc,SIL,DBI,VRI
data/MIMIC/processed,"[0, 10]",vitals-static,0.6,0.6,1313,True,1,F1,Precision,Recall,Auroc,SIL,DBI,VRI
